Profile results for minimaxMax:
         12817385 function calls (11212118 primitive calls) in 3.099 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   222724    0.017    0.000    0.017    0.000 {built-in method builtins.len}
    97052    0.015    0.000    0.027    0.000 <frozen abc>:117(__instancecheck__)
    97052    0.014    0.000    0.014    0.000 {function Counter.update at 0x1026d9940}
    12420    0.013    0.000    1.415    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:247(_reconstruct)
    36106    0.012    0.000    0.017    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:5(append)
    97052    0.012    0.000    0.012    0.000 {built-in method _abc._abc_instancecheck}
   112577    0.012    0.000    0.012    0.000 {function FilteredPositionsArray.append at 0x11ae42fc0}
     3105    0.011    0.000    1.884    0.001 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:171(_updateConfig)
    24840    0.010    0.000    0.014    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:231(_keep_alive)
     3105    0.009    0.000    0.018    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:232(_materialPoints)
   103378    0.009    0.000    0.009    0.000 {method 'bit_length' of 'int' objects}
    72212    0.007    0.000    0.007    0.000 {method 'extend' of 'list' objects}
     3104    0.007    0.000    0.024    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:481(execSingleMove)
  2924/17    0.007    0.000    3.097    0.182 /Users/elean/Documents/GitHub/projektSKI/src/minmax.py:156(minimaxMin)
    39211    0.006    0.000    0.009    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:54(__init__)
    36106    0.005    0.000    0.005    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:78(__turnOptions)
     3105    0.005    0.000    0.007    0.000 {function ScoredMoveList.sort at 0x11ae42a20}
    181/1    0.005    0.000    3.099    3.099 /Users/elean/Documents/GitHub/projektSKI/src/minmax.py:130(minimaxMax)
    37260    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
    12420    0.005    0.000    0.005    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:734(__reduce__)
    24840    0.004    0.000    1.379    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/copy.py:252(<genexpr>)
    12420    0.004    0.000    0.008    0.000 {method '__reduce_ex__' of 'object' objects}
     6210    0.003    0.000    0.003    0.000 {built-in method numpy.arange}
    12420    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
    24840    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
     3105    0.003    0.000    0.638    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:58(genMoves)
     6210    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
     3105    0.002    0.000    0.002    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:398(_getAllPawns)
    12420    0.002    0.000    0.002    0.000 {built-in method builtins.bin}
    36106    0.002    0.000    0.002    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:15(<lambda>)
     3105    0.002    0.000    0.009    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:13(sort)
     3273    0.001    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:726(__call__)
    12420    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     3104    0.001    0.000    0.001    0.000 {built-in method time.time}
     3273    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1129(__new__)
     3105    0.001    0.000    0.001    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:171(__init__)
     3105    0.001    0.000    0.001    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:17(__init__)
     3105    0.001    0.000    0.001    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:411(_getAllKnights)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    3.099    3.099 /Users/elean/Documents/GitHub/projektSKI/src/minmax.py:219(<lambda>)


