Profile results for alphaBetaMax:
         12102103 function calls (12094683 primitive calls) in 4.832 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    21499    0.005    0.000    0.008    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:354(<lambda>)
    24540    0.004    0.000    0.004    0.000 {built-in method builtins.bin}
    16688    0.004    0.000    0.007    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:346(<lambda>)
    14102    0.003    0.000    0.006    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:353(<lambda>)
     6135    0.003    0.000    0.028    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:13(sort)
     8065    0.003    0.000    0.004    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:726(__call__)
    10459    0.002    0.000    0.004    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:356(<lambda>)
     7441    0.002    0.000    0.002    0.000 {built-in method time.time}
     7483    0.002    0.000    0.003    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:357(<lambda>)
     8065    0.002    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1129(__new__)
     7442    0.001    0.000    0.001    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:389(_getAllKnights)
     7442    0.001    0.000    0.002    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:171(__init__)
     6135    0.001    0.000    0.001    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:17(__init__)
      110    0.000    0.000    0.000    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:349(<lambda>)
      100    0.000    0.000    0.000    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:347(<lambda>)
      104    0.000    0.000    0.000    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:350(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    4.832    4.832 /Users/elean/Documents/GitHub/projektSKI/src/minmax.py:209(<lambda>)
       20    0.000    0.000    0.000    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:348(<lambda>)


