Profile results for minimaxMax:
         26241054 function calls (23356730 primitive calls) in 6.263 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    90968    0.012    0.000    0.012    0.000 /Users/elean/Documents/GitHub/projektSKI/src/evalFunction.py:78(__turnOptions)
    22316    0.008    0.000    0.008    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:734(__reduce__)
    66948    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
    90968    0.005    0.000    0.005    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:28(<lambda>)
    11158    0.005    0.000    0.005    0.000 {built-in method numpy.arange}
    22316    0.005    0.000    0.005    0.000 {method 'count' of 'str' objects}
    44632    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
    11158    0.005    0.000    0.005    0.000 {method 'copy' of 'numpy.ndarray' objects}
     5579    0.004    0.000    0.004    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:398(_getAllPawns)
    22316    0.004    0.000    0.004    0.000 {built-in method builtins.bin}
     5775    0.002    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:726(__call__)
    22316    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
     5578    0.002    0.000    0.002    0.000 {built-in method time.time}
     5579    0.001    0.000    0.001    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:184(__init__)
     5579    0.001    0.000    0.001    0.000 /Users/elean/Documents/GitHub/projektSKI/src/model.py:30(__init__)
     5775    0.001    0.000    0.001    0.000 /opt/homebrew/Cellar/python@3.12/3.12.3/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:1129(__new__)
     5579    0.001    0.000    0.001    0.000 /Users/elean/Documents/GitHub/projektSKI/src/moveGenerator.py:411(_getAllKnights)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


